sentence_id,words,labels
0,corruptie,B
0,?,O
1,niet,O
1,in,O
1,ons,O
1,bedrijf,B
1,…,O
2,preventie,O
2,van,O
2,corruptie,B
2,in,O
2,het,O
2,bedrijfsleven,B
3,belgië,B
3,is,O
3,zich,O
3,bewust,O
3,van,O
3,zijn,O
3,centrale,O
3,positie,O
3,binnen,O
3,de,O
3,europese,B
3,unie,I
3,en,O
3,zet,O
3,zich,O
3,sinds,O
3,heel,O
3,wat,O
3,jaren,O
3,in,O
3,voor,O
3,de,O
3,strijd,B
3,tegen,I
3,corruptie,I
3,in,O
3,het,O
3,kader,O
3,van,O
3,nationale,O
3,en,O
3,internationale,O
3,commerciële,B
3,transacties,B
3,.,O
4,hiertoe,O
4,werd,O
4,",",O
4,op,O
4,het,O
4,einde,O
4,van,O
4,de,O
4,jaren,O
4,',O
4,90,O
4,",",O
4,een,O
4,belangrijke,O
4,hervorming,O
4,doorgevoerd,O
4,met,O
4,betrekking,O
4,tot,O
4,de,O
4,aspecten,O
4,van,O
4,zowel,O
4,de,O
4,strafrechtelijke,B
4,verantwoordelijkheid,I
4,van,O
4,rechtspersonen,B
4,als,O
4,fiscale,B
4,en,O
4,strafrechtelijke,O
4,implicaties,O
4,.,O
5,sindsdien,O
5,is,O
5,de,O
5,strijd,B
5,tegen,I
5,corruptie,I
5,een,O
5,prioriteit,O
5,van,O
5,de,O
5,belgische,O
5,regering,B
5,in,O
5,het,O
5,nationale,B
5,veiligheidplan,I
5,2008-2011,I
5,.,O
6,corruptie,B
6,komt,O
6,onder,O
6,verschillende,O
6,vormen,O
6,voor,O
6,en,O
6,wordt,O
6,streng,O
6,bestraft,B
6,.,O
7,via,O
7,deze,O
7,brochure,O
7,wil,O
7,belgië,B
7,de,O
7,bedrijven,B
7,die,O
7,op,O
7,de,O
7,internationale,O
7,markten,B
7,van,O
7,goederen,B
7,en,O
7,diensten,O
7,actief,O
7,zijn,O
7,",",O
7,sensibiliseren,O
7,voor,O
7,de,O
7,gevolgen,O
7,van,O
7,corruptie,B
7,.,O
8,een,O
8,verantwoordelijk,O
8,management,B
8,vereist,O
8,een,O
8,duidelijk,O
8,omschreven,O
8,definitie,O
8,van,O
8,wat,O
