sentence_id,words,labels
0,dressuur,B
1,de,O
1,dressuur,B
1,zijn,O
1,de,O
1,gymnastisch,B
1,basis,O
1,van,O
1,de,O
1,paardensport,B
1,.,O
2,dressuur,B
2,betekenen,O
2,eigenlijk,O
2,het,O
2,gymnastiseren,B
2,en,O
2,het,O
2,gehoorzaam,B
2,maken,O
2,van,O
2,het,O
2,paard,B
2,door,O
2,de,O
2,ruiter,B
2,.,O
3,daarmee,O
3,zijn,O
3,het,O
3,de,O
3,basis,O
3,van,O
3,al,O
3,ander,O
3,ruitersporten,B
3,–,O
3,maar,O
3,dressuur,B
3,in,O
3,zichzelf,O
3,kunnen,O
3,ook,O
3,zeer,O
3,de,O
3,moeite,O
3,van,O
3,het,O
3,beoefenen,O
3,waard,O
3,zijn,O
3,.,O
4,training,B
5,een,O
5,paard,B
5,zijn,O
5,in,O
5,één,O
5,instantie,O
5,niet,O
5,bouwen,O
5,om,O
5,een,O
5,mens,O
5,te,O
5,dragen,B
5,en,O
5,de,O
5,ruiter,B
5,dienen,O
5,daarom,O
5,als,O
5,een,O
5,van,O
5,de,O
5,één,O
5,dingen,O
5,te,O
5,leren,O
5,onafhankelijk,O
5,in,O
5,balans,B
5,te,O
5,zitten,B
5,",",O
5,de,O
5,beweging,O
5,van,O
5,het,O
5,paard,O
5,te,O
5,volgen,O
5,en,O
5,zijn,O
5,hulp,B
5,onafhankelijk,O
5,van,O
5,elkaar,O
5,te,O
5,geven,O
5,.,O
6,dat,O
6,willen,O
6,zeggen,O
6,dat,O
6,de,O
6,ruiter,B
6,zijn,O
6,spier,B
6,afzonderlijk,O
6,van,O
6,elkaar,O
6,leren,O
6,gebruiken,O
6,en,O
6,het,O
6,paard,B
6,niet,O
6,storen,O
6,in,O
6,zijn,O
6,beweging,O
6,.,O
7,vervolgens,O
7,zijn,O
7,het,O
7,de,O
7,bedoeling,O
7,dat,O
7,het,O
7,paard,B
7,leren,O
7,zijn,O
7,lijf,O
7,fysiek,O
7,zo,O
7,correct,O
7,mogelijk,O
7,te,O
7,gebruiken,O
7,en,O
7,daarbij,O
7,plezier,O
7,in,O
7,zijn,O
7,',O
7,werk,O
7,',O
7,hebben,O
7,.,O
8,in,O
8,de,O
8,training,B
8,maken,O
8,men,O
8,gebruik,O
8,van,O
8,de,O
8,natuurlijk,O
8,beweging,O
8,van,O
8,het,O
8,paard,B
8,en,O
8,zijn,O
8,instinct,O
8,waaronder,O
8,zijn,O
8,kuddegedrag,B
8,de,O
8,ruiter,B
8,worden,O
8,de,O
8,leider,O
8,en,O
8,het,O
8,paard,O
8,volgen,O
8,en,O
8,vluchtgedrag,B
8,het,O
8,snel,O
8,maken,O
8,aan,O
8,de,O
8,ruiter,O
8,beenhulpen,O
8,leren,O
8,men,O
8,het,O
8,paard,O
8,in,O
8,één,O
8,instantie,O
8,het,O
8,paard,O
8,te,O
8,laten,O
8,',O
8,vlucht,B
8,',O
8,voor,O
8,de,O
8,ruiter,O
8,been,B
8,",",O
8,enzovoort,O
8,.,O
9,doelstelling,O
9,volgens,O
9,het,O
9,skala,B
9,de,I
9,ausbildung,I
9,klassiek,B
9,dressuur,I
10,elk,O
10,pas,B
10,worden,O
10,met,O
10,dezelfde,O
10,kracht,O
10,",",O
10,regelmaat,B
10,en,O
10,afdruk,B
10,maken,O
10,simpel,O
10,zeggen,O
10,:,O
10,al,O
10,passen,B
10,zijn,O
10,gelijk,O
10,in,O
10,hetzelfde,O
10,ritme,B
11,ontspanning,B
11,:,O
12,het,O
12,paard,B
12,ontspannen,B
12,zichzelf,O
12,zowel,O
12,mentaal,O
12,als,O
12,fysiek,O
12,.,O
13,aanleuning,B
13,:,O
14,een,O
14,constant,O
14,",",O
14,ontspannen,B
14,verbinding,B
14,van,O
14,de,O
14,achterhand,B
14,naar,O
14,de,O
14,voorhand,B
14,van,O
14,het,O
14,paard,B
14,",",O
14,terug,O
14,naar,O
14,de,O
14,hand,B
14,van,O
14,de,O
14,ruiter,B
14,simpel,O
14,zeggen,O
14,:,O
15,het,O
15,paard,B
15,geven,O
15,de,O
15,ruiter,B
15,aan,O
15,beide,O
15,teugel,B
15,dezelfde,O
15,",",O
15,ontspannen,B
15,verbinding,B
15,en,O
15,volgen,O
15,te,O
15,al,O
15,tijd,O
15,de,O
15,hand,B
15,van,O
15,de,O
15,ruiter,O
15,.,O
16,impul,B
16,:,O
17,de,O
17,voorwaarts,B
17,drang,I
17,van,O
17,het,O
17,paard,B
17,",",O
17,opgewekt,O
17,én,O
17,controleren,O
17,door,O
17,de,O
17,ruiter,B
17,simpel,O
17,zeggen,O
17,:,O
18,het,O
18,paard,B
18,geven,O
18,de,O
18,ruiter,B
18,elk,O
18,pas,B
18,het,O
18,gevoel,O
18,uit,O
18,zichzelf,O
18,voorwaarts,B
18,te,O
18,willen,O
18,in,O
18,het,O
18,tempo,B
18,dat,O
18,de,O
18,ruiter,O
18,aangeven,O
18,.,O
19,rechtgerichtheid,B
19,:,O
20,een,O
20,paard,B
20,dat,O
20,in,O
20,balans,B
20,lopen,O
20,waarbij,O
20,hij,O
20,zijn,O
20,gewicht,O
20,zowel,O
20,aan,O
20,zijn,O
20,linker-als,O
20,zijn,O
20,rechterzijde,O
20,gelijk,O
20,verdelen,O
20,en,O
20,zijn,O
20,spier,B
20,aan,O
20,beide,O
20,zijden,B
20,even,O
20,lenig,O
20,en,O
20,sterk,O
20,zijn,O
20,simpel,O
20,zeggen,O
20,:,O
21,het,O
21,paard,B
21,zijn,O
21,aan,O
21,twee,O
21,kant,O
21,gelijk,O
21,en,O
21,lopen,O
21,even,O
21,simpel,O
21,linksom,B
21,als,O
21,rechtsom,B
21,.,O
22,verzameling,B
22,:,O
23,het,O
23,gewicht,O
23,dat,O
23,het,O
23,paard,B
23,op,O
23,zijn,O
23,achterhand,B
23,dragen,B
23,.,O
24,door,O
24,het,O
24,snel,O
24,leren,O
24,optillen,O
24,van,O
24,zijn,O
24,achterbeen,B
24,en,O
24,het,O
24,onder,B
24,de,I
24,massa,I
24,te,O
24,brengen,O
24,gaan,O
24,het,O
24,paard,B
24,zijn,O
24,gewicht,O
24,veel,O
24,op,O
24,zijn,O
24,achterhand,B
24,dragen,B
24,",",O
24,de,O
24,graad,O
24,van,O
24,de,O
24,verzameling,B
24,hangen,B
24,af,O
24,van,O
24,de,O
24,scholing,B
24,van,O
24,het,O
24,paard,O
24,en,O
24,de,O
24,graad,O
24,van,O
24,africhting,B
24,simpel,O
24,zeggen,O
24,:,O
24,zijn,O
24,gewicht,O
24,in,O
24,veel,O
24,of,O
24,mindere,O
24,mate,O
24,op,O
24,de,O
24,achterhand,O
24,dragen,O
24,.,O
25,er,O
25,zijn,O
25,bijvoorbeeld,O
25,voorwaarts,B
25,drang,I
25,en,O
25,tempocontrole,O
25,impul,B
25,nodig,O
25,voor,O
25,een,O
25,goed,O
25,balans,B
25,rechtgerichtheid,B
25,",",O
25,terwijl,O
25,een,O
25,goed,O
25,balans,O
25,ervoor,O
25,zorgen,O
25,dat,O
25,het,O
25,paard,B
25,makkelijk,O
25,voorwaarts,O
25,lopen,O
25,en,O
25,zijn,O
25,tempo,B
25,kunnen,O
25,beheersen,O
25,.,O
26,dressuursport,B
27,het,O
27,beheersen,O
27,van,O
27,de,O
27,basisdressuur,B
27,worden,O
27,over,O
27,het,O
27,algemeen,O
27,zien,O
27,als,O
27,een,O
27,voorwaarde,O
27,voor,O
27,het,O
27,beoefenen,O
27,van,O
27,ander,O
27,discipline,O
27,binnen,B
27,de,O
27,paardensport,B
27,",",O
27,wat,O
27,zich,O
27,ook,O
27,uit,O
27,in,O
27,het,O
27,feit,O
27,dat,O
27,er,O
27,minimaal,O
27,één,O
27,winstpunt,B
27,nodig,O
27,zijn,O
27,in,O
27,de,O
27,dressuur,B
27,",",O
27,voordat,O
27,men,O
27,mee,O
27,mogen,O
27,doen,O
27,aan,O
27,springwedstrijd,B
27,.,O
28,land,O
28,die,O
28,sterk,O
28,in,O
28,de,O
28,discipline,O
28,dressuur,B
28,zijn,O
28,",",O
28,zijn,O
28,nederland,O
28,",",O
28,duitsland,O
28,",",O
28,spanje,O
28,",",O
28,de,O
28,verenigen,O
28,state,O
28,en,O
28,frankrijk,O
28,.,O
29,nederlands,O
29,wedstrijd,B
30,bij,O
30,dressuurwedstrijd,B
30,in,O
30,nederland,O
30,beoordelen,O
30,een,O
30,jury,B
30,de,O
30,mate,O
30,van,O
30,gymnastisering,B
30,en,O
30,beheersing,O
30,van,O
30,het,O
30,paard,B
30,.,O
31,voor,O
31,wat,O
31,betreffen,O
31,de,O
31,basissport,O
31,breedtesport,B
31,gebeuren,O
31,dat,O
31,in,O
31,vier,O
31,primair,O
31,klasse,O
31,.,O
32,in,O
32,een,O
32,dressuurproef,B
32,van,O
32,de,O
32,b,O
32,tot,O
32,en,O
32,met,O
32,de,O
32,m2,B
32,kunnen,O
32,maximaal,O
32,300,O
32,punt,O
32,behalen,O
32,worden,O
32,",",O
32,in,O
32,29,O
32,handeling,O
32,.,O
33,deze,O
33,punt,O
33,worden,O
33,onderverdelen,O
33,in,O
33,de,O
33,zogenaamd,O
33,winstpunt,B
33,.,O
34,indien,O
34,er,O
34,voor,O
34,de,O
34,handeling,O
34,gemiddeld,O
34,een,O
34,6,O
34,worden,O
34,rijden,B
34,",",O
34,behalen,O
34,men,O
34,180,O
34,punt,O
34,",",O
34,dit,O
34,zijn,O
34,één,O
34,winstpunt,B
34,.,O
35,met,O
35,10,O
35,winstpunt,B
35,kunnen,O
35,men,O
35,naar,O
35,de,O
35,volgen,O
35,klasse,O
35,",",O
35,met,O
35,30,O
35,winstpunt,O
35,moten,O
35,men,O
35,door,O
35,.,O
36,deze,O
36,proef,B
36,worden,O
36,rijden,B
36,in,O
36,een,O
36,rijbaan,B
36,van,O
36,20,O
36,bij,O
36,40,O
36,meter,O
36,.,O
37,in,O
37,de,O
37,z1,B
37,en,O
37,de,O
37,z2,B
37,zijn,O
37,dit,O
37,aantal,O
37,340,O
37,punt,O
37,",",O
37,in,O
37,34,O
37,handeling,O
37,.,O
38,hier,O
38,moeten,O
38,dus,O
38,204,O
38,punt,O
38,verdienen,O
38,worden,O
38,om,O
38,een,O
38,winstpunt,B
38,te,O
38,rijden,B
38,.,O
39,deze,O
39,zwaar,O
39,proef,B
39,worden,O
39,officieel,O
39,rijden,B
39,in,O
39,een,O
39,rijbaan,B
39,van,O
39,20,O
39,bij,O
39,60,O
39,.,O
40,in,O
40,de,O
40,proef,B
40,geven,O
40,de,O
40,jury,B
40,per,O
40,handeling,O
40,een,O
40,cijfer,O
40,variëren,O
40,van,O
40,0,O
40,tot,O
40,10,O
40,.,O
41,de,O
41,nederlands,O
41,sportfederatie,O
41,voor,O
41,de,O
41,paardensport,B
41,zijn,O
41,de,O
41,koninklijk,O
41,nederlands,O
41,hippisch,B
41,sportfederatie,O
41,",",O
41,afkorten,O
41,knhs,O
41,.,O
42,vrijwel,O
42,al,O
42,wedstrijd,B
42,worden,O
42,onder,O
42,de,O
42,regel,O
42,van,O
42,deze,O
42,federatie,O
42,rijden,B
42,",",O
42,maar,O
42,er,O
42,zijn,O
42,ook,O
42,zogenaamd,O
42,onderling,O
42,wedstrijd,O
42,",",O
42,meestal,O
42,van,O
42,één,O
42,of,O
42,enkele,O
42,vereniging,O
42,of,O
42,rijschool,B
42,.,O
43,deze,O
43,wedstrijd,B
43,vallen,O
43,als,O
43,ze,O
43,in,O
43,manegeverband,B
43,rijden,B
43,worden,O
43,onder,O
43,de,O
43,federatie,O
43,nederlands,O
43,ruitersportcentrum,O
43,",",O
43,afkorten,O
43,fnr,O
43,.,O
44,er,O
44,zijn,O
44,voor,O
44,deze,O
44,wedstrijd,B
44,een,O
44,naslagwerk,O
44,"""",O
44,leer,O
44,paardrijden,B
44,met,O
44,plezier,O
44,"""",O
44,",",O
44,waarin,O
44,proef,B
44,zijn,O
44,opnemen,B
44,van,O
44,dressuur,B
44,",",O
44,caprilli,B
44,begin,O
44,van,O
44,springen,B
44,en,O
44,western,B
44,.,O
45,de,O
45,dressuurproev,B
45,bestaan,O
45,uit,O
45,proef,B
45,à,O
45,en,O
45,b,O
45,en,O
45,lopen,O
45,van,O
45,f1,B
45,t/m,O
45,f20,B
45,",",O
45,de,O
45,caprilli-proeven,O
45,lopen,O
45,van,O
45,c1,B
45,t/m,O
45,c4,B
45,en,O
45,de,O
45,westernproeven,B
45,lopen,O
45,van,O
45,w1,B
45,t/m,O
45,w10,B
45,.,O
46,daarnaast,O
46,zijn,O
46,er,O
46,speciaal,O
46,dressuurproevenboekje,B
46,verkrijgbaar,O
46,bij,O
46,ruitersportzaak,B
46,",",O
46,waarin,O
46,al,O
46,voornoemen,O
46,proef,B
46,zijn,O
46,opnemen,B
46,.,O
47,bij,O
47,de,O
47,jurering,B
47,worden,O
47,veel,O
47,op,O
47,de,O
47,ruiter,B
47,dan,O
47,de,O
47,combinatie,B
47,letten,O
47,de,O
47,combinatie,O
47,bestaan,O
47,uit,O
47,een,O
47,manegepaard,O
47,en,O
47,manegeruiter,B
47,.,O
48,er,O
48,worden,O
48,vooral,O
48,letten,O
48,op,O
48,de,O
48,correctheid,O
48,van,O
48,de,O
48,hulp,B
48,van,O
48,de,O
48,ruiter,B
48,.,O
49,het,O
49,paard,B
49,hoeven,B
49,de,O
49,handeling,O
49,niet,O
49,per,O
49,se,O
49,uit,O
49,te,O
