sentence_id,words,labels
0,united,O
0,nation,O
0,convention,O
0,against,O
0,corruption,B
1,this,O
1,decision,B
1,authorise,O
1,the,O
1,president,O
1,of,O
1,the,O
1,council,O
1,to,O
1,designate,O
1,the,O
1,person,O
1,empower,O
1,to,O
1,sign,O
1,the,O
1,united,O
1,nation,O
1,convention,O
1,against,O
1,corruption,B
1,on,O
1,behalf,O
1,of,O
1,the,O
1,european,O
1,community,O
1,.,O
2,the,O
2,convention,O
2,aim,O
2,to,O
2,boost,O
2,the,O
2,effectiveness,O
2,of,O
2,the,O
2,fight,B
2,against,I
2,corruption,I
2,",",O
2,promote,O
2,the,O
2,proper,O
2,management,O
2,of,O
2,public,B
2,affair,I
2,and,O
2,encourage,O
2,international,O
2,cooperation,O
2,and,O
2,technical,O
2,assistance,O
2,.,O
3,act,O
4,council,O
4,decision,B
4,on,O
4,the,O
4,signing,O
4,",",O
4,on,O
4,behalf,O
4,of,O
4,the,O
4,european,O
4,community,O
4,",",O
4,of,O
4,the,O
4,united,O
4,nation,O
4,convention,O
4,against,O
4,corruption,B
4,.,O
5,summary,O
6,at,O
6,the,O
6,conference,O
6,hold,O
6,in,O
6,merida,O
6,mexico,O
6,from,O
6,9,O
6,to,O
6,11,O
6,december,O
6,2003,O
6,",",O
6,the,O
6,united,O
6,nation,O
6,convention,O
6,against,O
6,corruption,B
6,be,O
6,open,O
6,for,O
6,signing,O
6,.,O
7,at,O
7,its,O
7,2658th,O
7,session,O
7,on,O
7,10,O
7,may,O
7,2005,O
7,",",O
7,the,O
7,council,O
7,adopt,O
7,the,O
7,commission,B
7,proposal,O
7,concern,O
7,the,O
7,signing,O
7,of,O
7,the,O
7,convention,O
7,.,O
8,the,O
8,decision,B
8,authorise,O
8,the,O
8,president,O
8,of,O
8,the,O
8,council,O
8,to,O
8,designate,O
8,the,O
8,person,O
8,empower,O
8,to,O
8,sign,O
8,the,O
8,unite,O
8,nation,O
8,convention,O
8,on,O
8,behalf,O
8,of,O
8,the,O
8,european,O
8,community,O
8,.,O
8,on,O
8,15,O
8,september,O
8,2005,O
8,",",O
8,the,O
8,european,O
8,commission,B
8,and,O
8,the,O
8,council,O
8,presidency,O
8,sign,O
8,the,O
8,convention,O
8,on,O
8,behalf,O
8,of,O
8,the,O
8,european,O
8,community,O
8,.,O
9,the,O
9,convention,O
9,",",O
9,now,O
9,know,O
9,as,O
9,the,O
9,merida,O
9,convention,O
9,",",O
9,be,O
9,adopt,O
9,by,O
9,the,O
9,un,O
9,general,B
9,assembly,I
9,on,O
9,31,O
9,october,O
9,2003,O
9,resolution,B
9,58/4,O
9,and,O
9,be,O
9,open,O
9,for,O
9,sign,O
9,until,O
9,9,O
9,december,O
9,2005,O
9,.,O
10,produce,O
10,a,O
10,effective,O
10,instrument,O
10,against,O
10,corruption,B
11,in,O
11,december,O
11,2000,O
11,",",O
11,the,O
11,un,O
11,general,B
11,assembly,I
11,decide,O
11,to,O
11,establish,O
11,a,O
11,special,O
11,committee,O
11,open,O
11,to,O
11,all,O
11,state,O
11,for,O
11,draw,O
11,up,O
11,a,O
11,effective,O
11,international,O
11,legal,B
11,instrument,I
11,against,O
11,corruption,B
11,resolution,B
11,55/61,O
11,.,O
12,the,O
12,committee,O
